ŽÀ•”,‹••”
-0.013031,0
-0.014837,0.0197666
-0.125385,0.0202637
-0.0251523,-0.256403
0.265002,0.0946401
-0.245725,0.0616928
0.203986,-0.209402
-0.0471413,0.256916
-0.0303575,-0.25446
0.160008,0.21557
-0.190095,-0.113798
0.203606,0.0691845
-0.239151,-0.00580519
0.218224,-0.118519
-0.116161,0.138977
0.115229,-0.146382
-0.0590392,0.194506
-0.0173114,-0.201131
0.0733727,0.129599
-0.0226845,-0.133772
0.105782,0.170912
-0.141325,-0.113835
0.159674,0.0989253
-0.203757,-0.101555
0.31371,0.0215146
-0.302935,0.117341
0.284271,-0.229203
-0.162753,0.345087
0.057892,-0.362296
0.0487397,0.397033
-0.188758,-0.410783
0.386937,0.314073
-0.416892,-0.137552
0.459952,0.0764756
-0.541531,0.0864216
0.521421,-0.327149
-0.332782,0.496451
0.229303,-0.544416
-0.0642144,0.729504
-0.288717,-0.736199
0.490822,0.555025
-0.61801,-0.512198
1.01121,0.338897
-1.13077,0.245639
0.902799,-0.577935
-0.858588,0.900186
0.403995,-1.42768
0.238559,1.37344
-0.572102,-1.41045
1.42064,1.25762
-1.86457,-0.457717
2.04609,-0.218448
-2.01067,1.25109
1.25181,-2.22426
-0.00573392,2.60659
-1.14806,-2.23523
1.88323,1.51768
-2.36072,-0.705812
2.57715,-0.517678
-1.73314,1.62105
0.93954,-1.75918
-0.307597,2.07403
-0.618947,-1.86774
1.09009,1.4358
-1.56471,-0.922204
1.62587,0.170397
-1.40405,0.237938
1.37409,-0.608697
-1.03177,1.16371
0.480162,-1.31058
-0.103261,1.33354
-0.305708,-1.31845
0.749768,1.15684
-1.0528,-0.840406
1.39842,0.49147
-1.41215,0.281126
0.94482,-0.46521
-1.14622,0.621649
0.786834,-1.38529
0.0329168,1.32799
-0.188366,-1.10307
0.600357,1.20555
-1.08475,-0.764276
1.12173,0.330613
-1.1787,-0.00652793
1.13085,-0.444651
-0.781274,0.819394
0.416773,-0.86564
-0.210728,0.879929
-0.00313419,-0.966928
0.485109,0.939587
-0.652379,-0.43756
0.494395,0.404096
-0.734367,-0.33689
0.844278,0.0535907
-0.738693,0.308136
0.514538,-0.278867
-0.694979,0.483376
0.302269,-0.797276
-0.132627,0.63708
0.0599654,-0.807523
0.309541,0.859937
-0.598121,-0.629329
0.658946,0.441739
-0.85484,-0.30419
0.950934,-0.0698419
-0.817407,0.378631
0.657726,-0.555868
-0.50352,0.76355
0.187813,-0.887131
0.0520999,0.872424
-0.332162,-0.859394
0.603923,0.69526
-0.786641,-0.457462
0.875154,0.192057
-0.893053,0.0992217
0.796344,-0.358781
-0.65408,0.604785
0.379189,-0.747028
-0.174128,0.799255
-0.109733,-0.809186
0.310234,0.699051
-0.497233,-0.565363
0.579458,0.419455
-0.767027,-0.235864
0.671935,-0.0824577
-0.645731,0.0899014
0.681127,-0.403476
-0.408058,0.538924
0.324649,-0.572118
-0.176238,0.700217
-0.0784769,-0.76303
0.326069,0.624951
-0.37028,-0.531822
0.596399,0.512669
-0.766855,-0.216384
0.729275,0.00911254
-0.759367,0.183363
0.662335,-0.438822
-0.499523,0.59338
0.323098,-0.72128
-0.105322,0.798629
-0.133474,-0.819515
0.395951,0.765829
-0.632263,-0.588233
0.73787,0.369816
-0.843781,-0.192952
0.916996,-0.115963
-0.792821,0.394232
0.688357,-0.583255
-0.478424,0.833885
0.181382,-0.897167
0.0373904,0.96034
-0.405149,-0.949382
0.6859,0.736257
-0.876085,-0.5188
1.05992,0.210704
-1.04778,0.216345
0.865499,-0.483265
-0.719137,0.735355
0.38834,-0.936363
-0.0789613,0.937087
-0.160596,-0.884752
0.366597,0.841765
-0.65521,-0.73385
0.8774,0.470039
-0.953379,-0.133292
0.897811,-0.0901399
-0.94493,0.367382
0.709416,-0.721836
-0.447315,0.8262
0.198184,-0.938804
0.0821978,0.95721
-0.384549,-0.908759
0.634984,0.76147
-0.909114,-0.540296
0.998869,0.172771
-1.02972,0.101674
0.942193,-0.494217
-0.708801,0.735044
0.422166,-0.942875
-0.1013,0.966668
-0.193051,-0.986021
0.500393,0.824974
-0.714654,-0.694126
0.990057,0.347495
-0.901989,0.0213003
0.884135,-0.193974
-0.815405,0.539042
0.53218,-0.764629
-0.267323,0.874037
-0.0773664,-0.886563
0.2785,0.735099
-0.480101,-0.715361
0.767805,0.448934
-0.776606,-0.153889
0.801499,-0.0834989
-0.671995,0.355987
0.523512,-0.48558
-0.359215,0.659951
0.0679839,-0.728486
0.181317,0.647205
-0.336177,-0.491659
0.397863,0.395372
-0.576227,-0.266483
0.561331,-0.0313611
-0.467074,0.116724
0.416825,-0.290603
-0.243873,0.320397
0.226714,-0.386119
-0.0100703,0.46045
-0.0961233,-0.348329
0.165555,0.338908
-0.274831,-0.240771
0.276138,0.150932
-0.345915,-0.103012
0.35388,-0.0834139
-0.240092,0.129987
0.247116,-0.189983
-0.129686,0.261885
0.0833446,-0.265331
0.0492804,0.305873
-0.122973,-0.200561
0.147268,0.192355
-0.224135,-0.111088
0.210771,0.0298367
-0.205118,0.0366484
0.145945,-0.0884376
-0.12787,0.0902335
0.0957733,-0.152369
-0.011894,0.134667
0.0171291,-0.114332
0.0259847,0.129741
-0.0468093,-0.100919
0.0754378,0.100724
-0.101341,-0.0586536
0.0999517,0.034838
-0.106376,-0.0140437
0.120078,-0.0127803
-0.113855,0.0661155
0.0729891,-0.101731
-0.030028,0.103135
0.0188422,-0.109229
0.0407032,0.130886
-0.0893523,-0.0831038
0.11296,0.0475314
-0.112636,0.0244035
0.0715218,-0.0463986
-0.0538839,0.0714822
0.0125519,-0.0799043
0.0318005,0.0893483
-0.0933259,-0.0207579
0.0342868,-0.0342259
-0.0329173,0.0120546
0.0292511,-0.057644
0.0229922,0.0655028
-0.0584106,-0.0430603
0.0791738,0.00584843
-0.072488,0.0423592
0.0351525,-0.0621683
-0.0233654,0.0645642
