ŽÀ•”,‹••”
0.00128173,-5.96046e-07
0.00961304,-5.96046e-07
0.0435791,-7.7486e-07
0.0812378,-3.71039e-06
0.085205,-3.72529e-07
0.070343,8.9407e-07
0.0659485,-3.09944e-06
0.0545044,6.10948e-06
0.0210571,1.09334e-06
-0.00845338,5.84126e-06
-0.0214233,1.07288e-06
-0.027771,-2.5034e-06
-0.0206909,-7.7486e-07
-0.00650023,1.09076e-05
-0.00860595,-2.92063e-06
-0.0309143,-1.93715e-07
-0.0541077,3.57628e-06
-0.0570373,3.8892e-06
-0.0452575,6.3777e-06
-0.0444336,-4.17233e-07
-0.0468445,1.86265e-06
-0.0334473,5.21541e-06
-0.0158997,8.9407e-06
-0.0134888,-8.22544e-06
-0.0168762,-2.89251e-08
-0.0192871,-1.51992e-06
-0.0177918,1.43051e-06
-0.00231934,4.73857e-06
0.021759,-2.6077e-06
0.0292664,2.47359e-06
0.0248718,6.85453e-07
0.0205383,-3.93391e-06
0.0209045,-3.70975e-06
0.0315857,-2.05636e-06
0.040802,-7.00355e-06
0.0356445,-2.68221e-07
0.0276184,2.10106e-06
0.0191345,-1.30236e-05
0.00192261,-9.53674e-07
-0.0211487,-4.50015e-06
-0.0423889,-4.19278e-06
-0.0576782,-3.45707e-06
-0.051239,-3.9041e-06
-0.0262146,-2.32831e-07
-0.0111694,-1.20699e-06
-0.00912476,-8.40425e-06
-0.00534058,2.20537e-06
-0.00863649,-9.10461e-06
-0.0178528,1.19209e-06
-0.0136108,-3.12924e-07
0.00296019,-2.92063e-06
0.0231934,-1.01328e-06
0.042511,3.99351e-06
0.0551148,4.64916e-06
0.0539551,-3.75509e-06
0.0394592,-2.80142e-06
0.0260925,1.45944e-06
0.0205383,3.78489e-06
0.0142517,4.76837e-06
0.00500488,-1.04308e-06
0.00161743,-3.23355e-06
0.00494383,1.87755e-06
0.000427276,2.71201e-06
-0.0143738,-1.49012e-07
-0.0267029,-3.45707e-06
-0.0341797,-3.12837e-06
-0.0399475,4.15187e-06
-0.0410156,3.29316e-06
-0.0418701,1.50589e-06
-0.041687,1.07671e-05
-0.0386047,1.38308e-05
-0.0325012,-4.2702e-06
-0.0236816,4.34091e-06
-0.0159912,1.22701e-06
-0.00723268,1.74475e-06
0.00216675,1.78814e-06
0.0122681,-4.95536e-07
0.0194397,-3.67679e-06
0.0202637,6.72595e-07
0.0205078,3.41996e-06
0.021698,-2.20362e-06
0.0207519,-1.90092e-06
0.0200195,-5.43425e-06
0.0177612,9.72373e-07
0.0120544,-1.36448e-06
0.00610351,-8.18329e-06
0.00100708,-2.04887e-06
-0.00344848,1.71831e-06
-0.00949094,6.98311e-08
-0.0167236,4.25151e-06
-0.020874,-1.02351e-06
-0.0185242,-2.31523e-06
-0.0155334,7.79243e-06
-0.0146179,-4.03602e-06
-0.00894166,-4.77714e-07
-0.00259399,-4.56384e-07
-0.00363159,6.44258e-06
-0.00643921,-1.05331e-06
-0.00512696,-2.3424e-06
-0.0043335,-2.88907e-06
0.000213626,-3.72149e-06
0.0098877,1.21841e-07
0.0173645,2.52984e-06
0.0209961,-2.44963e-06
0.0238037,2.38419e-07
0.0259094,-2.46891e-07
0.0218201,-2.85591e-06
0.0146179,3.09385e-06
0.00933838,-1.70341e-06
0.00665284,5.49385e-06
0.00512697,1.95497e-06
0.00521848,2.35994e-06
0.000640847,-9.9458e-07
-0.00973511,-1.69406e-06
-0.0174561,5.69137e-06
-0.0186157,3.29272e-06
-0.0211182,5.29882e-06
-0.0262756,-2.14226e-06
-0.0243225,1.30721e-05
-0.0191956,4.39029e-06
-0.0170898,4.81775e-06
-0.0133667,-3.60257e-06
-0.00888061,5.95696e-06
-0.00765991,2.85165e-07
-0.00402833,9.62735e-07
0.00555419,-4.02331e-06
0.0142212,-2.87213e-06
0.0146484,-2.253e-06
0.0129089,-8.0554e-07
0.0122681,1.43299e-06
0.0117188,-5.24696e-06
0.0119324,-6.83028e-06
0.00927734,1.53482e-06
0.00552369,-6.81187e-06
0.00567629,-1.31624e-05
0.00582887,3.22449e-06
0.00140381,-3.41792e-06
-0.00378418,-3.91345e-06
-0.00738525,4.06655e-06
-0.0143738,6.94803e-07
-0.0180664,-7.98823e-07
-0.0126953,-7.74685e-06
-0.0101624,3.61543e-06
-0.0115356,-1.76389e-06
-0.00628662,-1.27391e-06
0.00482178,-2.86131e-06
0.0140076,-1.08807e-06
0.0214844,2.26673e-06
0.0235596,-2.21763e-07
0.0265198,5.88278e-06
0.0316772,-4.27459e-07
